#{"t_start": 1745003421.7714872, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
1370.0,3609,22.05716
520.0,3569,31.229953
340.0,2761,38.190021
660.0,2537,44.662652
400.0,2049,49.921386
490.0,2217,55.562568
1690.0,2825,62.707742
310.0,2129,68.120995
420.0,1889,72.933679
910.0,2801,79.997165
400.0,2929,87.354456
710.0,2041,92.574107
460.0,2881,99.776525
220.0,1713,104.341689
570.0,2729,111.358933
650.0,2969,118.912162
140.0,1417,122.429859
360.0,2409,128.387802
330.0,2129,133.692979
340.0,2089,138.961344
280.0,1889,143.684337
740.0,2905,150.922211
660.0,2497,157.26597
760.0,3105,164.92262
230.0,2409,170.941049
620.0,2513,177.29575
600.0,2913,184.655472
510.0,1929,189.485853
760.0,3457,198.10143
980.0,3201,206.128944
1060.0,2313,211.907119
280.0,2089,217.166852
330.0,2033,222.35167
260.0,2009,227.362685
770.0,3193,235.383723
180.0,1425,238.949774
330.0,2049,244.029919
360.0,2457,250.244539
510.0,2833,257.267962
580.0,2873,264.432556
420.0,1825,269.091648
1420.0,3425,277.766835
220.0,1313,281.048109
1020.0,2089,286.361409
280.0,1633,290.529942
200.0,1617,294.571756
1830.0,3177,302.609797
1310.0,2761,309.604905
570.0,1929,314.45636
1290.0,2873,321.598739
1030.0,3385,330.147475
480.0,2057,335.266788
520.0,2657,341.903083
560.0,3145,350.048485
420.0,2025,355.346875
1010.0,3353,363.922793
930.0,2849,371.225851
330.0,1841,375.92255
520.0,2345,381.919373
960.0,3105,389.687367
940.0,3153,397.704714
640.0,3345,406.110388
830.0,3745,415.681947
220.0,1409,419.190392
540.0,1945,424.09462
670.0,3441,432.852728
680.0,2857,440.36403
370.0,1777,445.05092
210.0,1185,448.002333
690.0,2297,453.792887
990.0,2753,460.706579
500.0,1857,465.346014
900.0,2793,472.382912
720.0,3241,480.604589
560.0,2385,486.673966
790.0,2273,492.368143
410.0,1497,496.382772
630.0,2337,502.464311
470.0,2465,508.656155
270.0,1385,512.188032
980.0,2665,519.000264
1470.0,3945,529.076566
940.0,2113,534.425711
1000.0,3001,542.063262
190.0,1593,546.05858
290.0,1801,550.509466
310.0,2081,555.648404
610.0,2089,560.949264
780.0,3825,570.627733
1050.0,3017,578.288122
590.0,2681,585.101374
460.0,2313,590.959374
270.0,2097,596.293561
770.0,3897,606.269937
250.0,1489,609.928303
730.0,3217,617.917551
380.0,2657,624.566691
650.0,2689,631.359708
780.0,3513,640.273091
780.0,2409,646.344458
1330.0,3137,654.267601
940.0,2609,660.923173
580.0,3433,669.671368
520.0,1889,674.439278
580.0,2537,680.676491
780.0,2593,687.106085
490.0,2521,693.468025
350.0,2593,700.068056
1200.0,2897,707.245596
730.0,2305,713.037626
510.0,1721,717.349812
880.0,3209,725.378684
810.0,2969,732.829649
590.0,2777,739.75082
1360.0,3153,747.564151
690.0,2257,753.31037
210.0,1185,756.288382
300.0,1953,761.248051
1320.0,2689,768.014082
1320.0,2625,774.799556
1580.0,2937,782.19798
630.0,2105,787.443775
570.0,2809,794.504818
1100.0,2377,800.544811
610.0,3489,809.408683
710.0,2521,815.84238
490.0,1881,820.645327
740.0,3577,829.643916
750.0,3033,837.357802
660.0,3641,846.513366
540.0,2361,852.602414
190.0,1457,856.293216
580.0,2241,861.932261
410.0,2913,869.406214
310.0,1977,874.434807
650.0,4241,885.130735
350.0,1897,889.978565
390.0,2705,896.878329
730.0,2793,903.936229
680.0,2529,910.346767
330.0,1665,914.625358
400.0,1825,919.34702
330.0,2505,925.569958
290.0,2257,931.265977
770.0,2185,936.757899
620.0,3449,945.652677
890.0,3313,954.047071
2030.0,3065,961.887591
340.0,1849,966.621327
430.0,2481,972.945954
750.0,2329,978.984324
590.0,2377,985.08731
660.0,2681,991.87152
550.0,2681,998.548924
2260.0,3961,1008.652606
1150.0,3753,1018.300415
1000.0,3609,1027.396877
1190.0,2729,1034.208437
760.0,2289,1040.059437
950.0,3129,1048.000209
510.0,2225,1053.668459
600.0,2497,1060.011265
830.0,2121,1065.415238
1050.0,3361,1073.970151
840.0,3193,1082.153996
360.0,2289,1087.909953
370.0,1921,1092.735535
1480.0,3505,1101.58027
390.0,1521,1105.303617
1060.0,2361,1111.393924
280.0,1513,1115.122187
990.0,3721,1124.642129
1380.0,3169,1132.831119
800.0,2577,1139.502923
470.0,1929,1144.412195
1630.0,6249,1160.242412
510.0,2569,1166.813401
770.0,2641,1173.645286
590.0,2417,1179.803804
870.0,3945,1189.82504
440.0,1849,1194.439092
580.0,1945,1199.322275
870.0,3217,1207.45496
500.0,2753,1214.371609
780.0,3761,1223.919384
860.0,3017,1231.457767
550.0,2353,1237.458591
1200.0,2369,1243.48878
350.0,1961,1248.426319
570.0,1777,1252.864785
1040.0,3641,1262.065504
700.0,2473,1268.376174
340.0,2649,1275.074907
770.0,2729,1281.945617
870.0,2657,1288.647012
220.0,1457,1292.373465
620.0,1993,1297.449229
500.0,1761,1301.864754
480.0,1897,1306.663626
1440.0,3521,1315.591437
540.0,2409,1321.805609
1150.0,3641,1330.987608
890.0,3001,1338.556091
510.0,2081,1343.749935
430.0,2033,1349.145144
470.0,1937,1354.033169
460.0,2297,1359.830134
620.0,2001,1364.93801
1410.0,2265,1370.650921
470.0,2025,1375.727413
630.0,2401,1381.746387
570.0,2113,1387.068681
440.0,1585,1391.025579
370.0,1825,1395.639168
480.0,1849,1400.368307
550.0,1865,1405.076653
1220.0,3441,1413.924685
500.0,1825,1418.520421
1530.0,3273,1426.851986
1440.0,3241,1435.157991
560.0,1857,1439.752831
1580.0,3097,1447.591341
440.0,2345,1453.537527
1070.0,3497,1462.397039
790.0,3401,1471.101295
760.0,2945,1478.494052
880.0,2737,1485.403099
1460.0,3273,1493.665938
430.0,3417,1502.316634
830.0,3553,1511.364809
700.0,2761,1518.411372
250.0,1665,1522.511982
1280.0,3233,1530.811877
330.0,1625,1534.892289
1010.0,3241,1543.076236
750.0,2105,1548.450227
630.0,2353,1554.43887
280.0,1449,1558.165781
310.0,1705,1562.446603
570.0,1969,1567.451173
980.0,2881,1574.678386
470.0,1897,1579.4479
610.0,2321,1585.409477
580.0,2177,1590.878588
1030.0,3225,1599.077045
180.0,1569,1603.005711
530.0,2129,1608.390984
460.0,1873,1613.007872
580.0,1985,1617.925902
520.0,1889,1622.66632
830.0,2593,1629.272543
820.0,2353,1635.14031
250.0,1529,1639.001293
1070.0,2569,1645.437592
760.0,3017,1653.150359
190.0,1649,1657.283215
610.0,2465,1663.547487
270.0,1937,1668.448586
420.0,1721,1672.658648
680.0,2801,1679.632931
390.0,2353,1685.551505
380.0,1809,1689.974978
670.0,2385,1695.961267
460.0,2537,1702.416327
990.0,3241,1710.656034
730.0,2265,1716.352696
620.0,2185,1721.927584
1090.0,3025,1729.508907
1130.0,3265,1737.669199
680.0,3033,1745.471363
1320.0,2681,1752.227934
620.0,2065,1757.426644
1030.0,2625,1764.144249
1190.0,2641,1770.937691
1200.0,3273,1779.168494
450.0,2465,1785.355067
740.0,2873,1792.572355
470.0,1977,1797.51128
790.0,3081,1805.263477
700.0,2977,1812.838799
280.0,1457,1816.460327
190.0,1729,1820.746958
460.0,2353,1826.692619
530.0,1649,1830.746418
670.0,3353,1839.163475
1490.0,3313,1847.504102
400.0,1881,1852.27951
760.0,2401,1858.45687
740.0,2353,1864.344227
1190.0,2537,1870.718727
450.0,1929,1875.600536
350.0,2609,1882.208241
710.0,2361,1888.089486
370.0,1633,1892.191703
