#{"t_start": 1745049255.1946304, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
230.0,1969,3.05247
270.0,2065,5.330952
250.0,1729,7.033326
170.0,1897,8.898523
250.0,2225,11.164591
230.0,2057,13.194829
140.0,2033,15.216709
230.0,2001,17.165525
190.0,1977,19.113817
200.0,1537,20.648445
260.0,1817,22.464669
190.0,2129,24.564433
210.0,1953,26.483104
250.0,1809,28.265223
280.0,1865,30.095691
190.0,1705,31.780724
260.0,2585,34.296258
130.0,1577,35.846213
290.0,2313,38.098606
390.0,2649,40.711134
280.0,2161,42.879188
160.0,1649,44.546213
350.0,2169,46.711467
170.0,1633,48.311352
160.0,2017,50.294487
230.0,2113,53.244628
290.0,2401,57.542166
810.0,3129,63.210474
180.0,1937,66.657376
220.0,1897,70.064466
280.0,2601,74.755698
200.0,1585,77.55638
410.0,2353,81.9055
310.0,2193,85.89063
460.0,2705,90.821513
260.0,2065,94.6125
250.0,1713,97.770039
380.0,2305,102.019512
160.0,1945,105.527148
280.0,2081,109.348774
300.0,1937,113.024964
330.0,2529,117.636301
320.0,2049,121.349797
180.0,1569,124.250471
1140.0,2593,129.068362
360.0,2569,133.766668
280.0,2049,137.617225
350.0,2185,141.81368
250.0,1465,144.580528
320.0,2273,148.822684
250.0,1865,152.335962
290.0,2113,156.281668
290.0,2105,160.161827
200.0,1625,163.127613
330.0,2017,166.895811
1110.0,2721,172.007093
200.0,1977,175.795336
160.0,1625,178.890953
960.0,2601,183.743742
270.0,1857,187.247599
690.0,2953,192.875314
150.0,1249,195.241983
550.0,3993,202.973955
280.0,1665,206.221055
260.0,1857,209.739628
1680.0,3465,216.421156
90.0,1017,218.414759
1140.0,3337,224.843647
220.0,1633,227.969473
420.0,2049,231.926027
360.0,2081,235.897404
550.0,2993,241.618338
270.0,1977,245.53551
320.0,2321,250.002423
280.0,1441,252.783467
440.0,1937,256.604125
360.0,2401,261.281783
430.0,2297,265.714467
680.0,2553,270.563845
210.0,1673,273.763533
220.0,1801,277.263066
310.0,2105,281.389505
490.0,2633,286.581435
280.0,2049,290.543647
320.0,1641,293.828853
770.0,3833,301.341966
460.0,2057,305.427286
220.0,1249,307.858825
290.0,1577,310.925433
400.0,2033,314.958224
290.0,2049,318.975563
470.0,2505,323.906873
270.0,1697,327.406688
380.0,1889,331.272812
310.0,1937,335.306373
240.0,1761,338.971543
1350.0,3241,345.887427
400.0,2017,350.122252
170.0,1737,353.753153
380.0,2361,358.850616
290.0,1721,362.485257
650.0,3041,368.929795
210.0,1625,372.331933
360.0,1793,376.08348
1120.0,2217,380.850845
700.0,3177,387.506373
450.0,2337,392.231209
960.0,2361,397.080715
210.0,1809,400.891628
1770.0,3681,408.41356
1000.0,3281,416.147131
270.0,1721,419.629328
560.0,2273,424.212419
400.0,1993,428.32645
1160.0,3881,436.392009
230.0,1433,439.386532
310.0,2017,443.607833
220.0,1665,447.07779
340.0,2161,451.606576
520.0,2225,456.222721
320.0,2089,460.533814
550.0,2505,465.6542
500.0,2417,470.690232
460.0,1761,474.355114
380.0,2233,478.92113
520.0,2561,484.336976
1000.0,2969,490.568072
580.0,2641,496.112649
1680.0,3793,504.119349
740.0,2649,509.748948
1430.0,4793,519.806533
670.0,3057,526.213574
640.0,2705,531.905711
670.0,2489,537.145331
600.0,2177,541.844215
750.0,2705,547.662006
420.0,1913,551.743411
370.0,1817,555.692877
860.0,3257,562.723853
230.0,1577,566.092702
460.0,1969,570.326439
370.0,1801,574.204389
270.0,1369,577.132625
440.0,2593,582.686417
1380.0,2737,588.640906
610.0,1849,592.821285
1330.0,3481,600.557778
260.0,1561,604.066387
860.0,2569,610.05804
780.0,2465,615.784821
330.0,1593,619.624436
590.0,2289,625.250461
380.0,1793,629.54156
310.0,1945,634.098719
420.0,2369,639.550272
280.0,1513,643.01451
380.0,1409,646.274511
1660.0,3417,654.181677
1430.0,3953,663.361888
730.0,2369,668.814033
220.0,1577,672.361119
270.0,1753,676.296233
930.0,2929,683.093291
1120.0,2617,689.086436
570.0,2089,693.939052
470.0,1961,698.491978
380.0,2105,703.360672
480.0,2097,708.189898
290.0,1641,711.955472
500.0,2185,716.920995
410.0,2001,721.425524
120.0,1641,725.105151
450.0,2145,729.962775
280.0,1865,734.186006
760.0,2545,739.909538
1050.0,2505,745.569342
280.0,1745,749.483341
440.0,1793,753.588983
320.0,1937,758.148254
450.0,1641,762.01004
320.0,1745,766.098367
1200.0,2401,771.890434
1450.0,2937,778.832304
1260.0,3137,786.263098
780.0,2721,792.813971
200.0,1369,795.99462
360.0,2113,800.980049
580.0,2745,807.430085
490.0,2385,812.858746
430.0,1897,817.142647
400.0,1601,820.891788
730.0,2057,825.772254
1040.0,3225,833.340996
770.0,2393,838.988953
630.0,2481,844.825868
750.0,2305,850.340928
1380.0,3209,857.935011
720.0,3233,865.936907
190.0,1553,869.734893
460.0,2353,875.388793
480.0,1953,880.066778
510.0,1841,884.4664
190.0,1193,887.26587
1290.0,3025,894.467056
360.0,1513,898.100734
680.0,2529,904.113616
1200.0,2577,910.19782
230.0,1825,914.285617
490.0,2281,919.413758
590.0,2265,924.489512
180.0,1305,927.38482
1040.0,3953,936.309224
290.0,1497,939.678148
430.0,2129,944.59531
660.0,2609,950.690613
350.0,1649,954.440396
410.0,1729,958.360867
300.0,1409,961.589285
1070.0,3961,970.907026
450.0,2009,975.656756
390.0,2025,980.477708
910.0,2409,986.122286
460.0,3121,993.629435
380.0,1825,998.026881
940.0,2273,1003.560566
660.0,2921,1010.566032
570.0,2529,1016.665396
350.0,1809,1020.961509
830.0,2689,1027.325891
350.0,1553,1030.992827
450.0,2121,1036.109332
210.0,1465,1039.612544
930.0,2577,1045.864604
230.0,1689,1049.826536
510.0,2057,1054.859734
570.0,2841,1061.575556
380.0,2137,1066.674086
590.0,2305,1072.358075
750.0,3961,1081.790441
450.0,2145,1086.924762
