#{"t_start": 1744843828.1221945, "env_id": "MsPacmanNoFrameskip-v4"}
r,l,t
200.0,1721,1.634955
210.0,1833,3.119956
180.0,1689,4.826508
280.0,2137,6.334548
240.0,2129,8.408488
200.0,1881,9.826801
240.0,2129,11.697802
190.0,1849,12.993801
200.0,1753,14.554803
240.0,1937,16.034813
230.0,2097,17.938815
280.0,2193,19.463812
200.0,1953,21.329813
390.0,2129,22.990813
320.0,2169,24.983815
180.0,1937,26.287813
330.0,2473,28.416816
220.0,1913,29.821815
290.0,2081,31.813813
170.0,1585,32.926814
320.0,2081,34.707813
280.0,2297,36.515815
190.0,2193,38.604814
560.0,2649,40.975812
190.0,1753,42.723816
600.0,3017,45.156812
430.0,3097,48.031812
310.0,2793,50.580815
1000.0,2737,52.962813
200.0,1865,54.271813
540.0,2545,56.724814
380.0,2849,59.167815
280.0,2353,61.161813
90.0,2193,62.893812
230.0,2161,64.812813
600.0,3161,67.326813
370.0,2745,69.381813
1010.0,2681,71.602813
700.0,2849,74.168814
430.0,2513,76.177815
280.0,2761,78.572813
520.0,2777,80.798814
570.0,2897,82.931943
340.0,2745,85.144814
320.0,2425,87.181813
490.0,2953,89.246813
690.0,2857,91.585832
530.0,2473,93.811813
200.0,2073,95.240813
240.0,1601,96.415816
310.0,2553,98.856814
550.0,3065,101.536869
630.0,2545,103.619869
570.0,2969,106.613868
540.0,2745,109.071869
240.0,1921,110.41887
260.0,1825,112.084869
1080.0,3289,114.918871
530.0,2505,116.848872
360.0,2505,119.11161
730.0,3857,122.327611
280.0,1969,123.720612
300.0,2353,125.658611
590.0,2033,127.20961
290.0,2121,128.98961
260.0,2241,130.520611
550.0,2921,132.833611
460.0,2121,134.59161
600.0,2513,136.33461
530.0,2665,138.662612
350.0,1777,139.885611
140.0,1409,141.208611
440.0,2977,143.281611
710.0,2769,145.549612
480.0,2697,147.90461
280.0,2697,149.916611
430.0,2521,152.161481
340.0,2297,153.95445
850.0,2505,156.46245
530.0,3553,159.674364
790.0,2593,161.835433
370.0,2961,164.327423
340.0,3009,166.960423
310.0,2537,169.090484
650.0,3593,171.884483
280.0,2441,174.093483
370.0,2313,176.355484
